active_member,employment_profile,gender,age,income,credit_history,existing_loans,loan_amount,loan_tenure_months,LTV_ratio,profile_score,Credit_Score
Yes,Salaried,Female,66,133000,155,9,150000,68,80.07543798860412,100,827
Yes,Self-Employed,Male,65,157000,325,8,150000,259,74.57218339416147,100,794
No,Salaried,Female,19,9000,496,5,5514,119,91.33247881,67,588
Yes,Salaried,Male,50,125000,607,7,55689,128,83.61317993556057,98,719
No,Freelancer,Male,59,170000,480,5,150000,334,78.65476438954317,91,629
Yes,Freelancer,Female,42,108000,126,9,127980,117,85.58035730786912,100,806
No,Unemployed,Male,24,14000,389,5,36600,46,62.769446295188715,100,578
Yes,Salaried,Male,46,127000,124,7,77477,268,63.93567133481989,90,704
Yes,Student,Male,34,76000,573,7,123556,104,52.22154206479135,99,729
No,Salaried,Female,52,94000,305,1,138580,43,94.08013251609728,45,400
Yes,Salaried,Male,62,142000,409,10,64032,196,67.69420163451298,99,850
No,Salaried,Female,54,147000,241,5,150000,126,68.41977351337687,100,616
No,Salaried,Female,56,149000,218,4,63545,65,53.253423778978366,98,563
No,Salaried,Male,52,151000,118,5,79316,233,62.974776654698466,100,629
No,Salaried,Female,59,171000,16,4,128245,38,89.84858577321268,76,525
Yes,Salaried,Female,45,79000,95,8,90767,349,82.28208095103824,94,749
Yes,Salaried,Male,36,104000,99,10,138092,60,66.42367560753223,100,850
No,Self-Employed,Male,21,11000,137,0,45114,37,93.87553891,0,309
No,Salaried,Female,69,195000,350,3,149183,37,59.93600805905882,97,498
No,Unemployed,Male,39,88000,115,0,150000,119,90.04190974068163,0,300
No,Self-Employed,Female,56,117000,459,3,50045,90,95,52,503
Yes,Salaried,Male,21,17000,246,8,23533,134,66.05475157785374,100,783
No,Unemployed,Female,32,38000,289,3,49576,32,92.58668032090135,20,468
No,Salaried,Female,35,51000,191,0,49879,16,55.62452741233567,68,300
No,Student,Male,31,46000,398,2,133329,38,69.62463247,71,426
No,Salaried,Female,59,104000,580,2,80180,22,77.02901014230329,68,448
No,Salaried,Male,65,116000,543,3,70272,79,67.77036295952037,70,485
Yes,Self-Employed,Female,33,66000,439,6,150000,143,78.40214007246652,85,678
No,Salaried,Female,64,159000,438,5,80444,133,75.31280872,84,625
No,Salaried,Female,38,63000,393,2,146164,35,63.77884574977064,69,448
No,Salaried,Female,39,34000,227,0,108606,12,66.98062747355695,67,300
No,Self-Employed,Female,40,33000,345,2,140015,30,50.925914888838896,77,426
No,Self-Employed,Female,24,33000,286,2,66516,107,52.873569116309184,65,443
No,Self-Employed,Female,57,165000,228,3,150000,70,50.40512203235468,97,503
Yes,Self-Employed,Female,70,111000,226,9,78410,218,60.49387844523524,93,807
Yes,Salaried,Female,53,126000,217,10,108618,251,40,96,850
No,Self-Employed,Female,21,16000,237,2,49354,107,83.00894493,42,459
No,Self-Employed,Male,32,73000,328,1,57926,98,93.78733521224385,28,401
No,Student,Male,28,17000,416,2,46862,90,80.42318136368485,36,432
Yes,Unemployed,Female,54,94000,292,9,143033,206,68.62726992636523,100,796
No,Salaried,Female,38,82000,226,5,93708,74,64.96124905574008,98,584
No,Salaried,Male,31,35000,315,1,101716,112,89.25551786874642,55,376
No,Salaried,Female,48,57000,203,3,108301,69,94.02167810851655,73,475
Yes,Salaried,Male,32,73000,149,6,101941,212,58.146484656253264,100,680
No,Student,Male,19,17000,609,4,10567,15,56.79288883068984,98,571
No,Salaried,Female,70,153000,348,4,60482,67,71.12337509628524,90,552
No,Salaried,Male,21,35000,520,0,134726,13,58.784194492366176,67,326
No,Unemployed,Male,18,26000,381,3,110953,102,95,59,516
No,Salaried,Male,52,62000,41,5,89811,46,81.09710406,75,597
Yes,Salaried,Male,20,21000,610,7,96798,93,40,100,710
No,Salaried,Male,38,40000,601,3,39541,72,60.95964673281422,99,506
No,Student,Female,29,68000,299,3,150000,34,70.90933002764903,85,516
No,Student,Male,52,79000,370,4,150000,55,95,56,543
Yes,Freelancer,Female,67,188000,437,10,74416,134,51.396779354965965,100,850
No,Unemployed,Male,49,146000,176,3,150000,101,95,25,498
No,Self-Employed,Male,70,62000,166,0,82948,118,90.58163488,35,348
No,Salaried,Female,44,68000,458,1,93999,100,53.109370852422245,98,407
No,Self-Employed,Female,40,110000,92,3,74305,87,73.87988762647576,68,505
Yes,Self-Employed,Female,64,58000,534,7,73956,288,43.612831749448645,96,715
No,Self-Employed,Male,28,37000,494,4,20817,68,53.713037785470604,81,522
No,Self-Employed,Female,66,195000,98,2,50603,111,95,27,439
Yes,Salaried,Male,65,183000,590,10,98376,248,85.92883555738746,100,850
Yes,Student,Other,41,45000,601,8,145875,148,78.74661889415403,100,771
No,Freelancer,Other,35,65000,227,1,150000,84,54.73223713320561,88,380
No,Self-Employed,Male,65,173000,286,5,136885,174,92.33067861580341,60,602
No,Salaried,Female,67,37000,111,1,109958,29,58.14965305227679,78,365
Yes,Salaried,Male,47,118000,292,8,115932,327,60.203410425340564,100,769
Yes,Salaried,Male,29,45000,208,7,53076,299,52.119710609750726,92,697
Yes,Unemployed,Female,63,68000,561,7,51355,199,60.796914690999245,100,707
No,Student,Male,21,11000,217,1,9226,44,87.86617044794986,22,388
Yes,Salaried,Female,61,125000,94,9,150000,273,40,93,845
No,Salaried,Male,67,122000,428,4,57483,73,68.66109576257296,89,552
Yes,Freelancer,Male,42,118000,206,8,150000,209,85.29892952191365,100,777
No,Self-Employed,Female,26,49000,360,1,108170,45,95,41,397
Yes,Self-Employed,Male,29,68000,251,10,147369,195,48.20066559327723,99,850
Yes,Self-Employed,Male,32,37000,279,10,114519,272,42.30296765399546,100,850
No,Salaried,Male,18,9000,498,5,17258,76,65.39721540750858,100,583
No,Salaried,Male,69,182000,575,5,119871,40,95,68,588
No,Salaried,Female,35,44000,26,6,150000,236,82.09698084653513,100,647
Yes,Self-Employed,Female,37,51000,222,8,81487,293,59.74978741535361,100,765
Yes,Salaried,Female,19,25000,151,8,71756,357,84.86737300562484,90,746
Yes,Self-Employed,Male,21,37000,509,6,65555,352,89.51532017285979,90,676
No,Salaried,Female,28,32000,104,2,111246,66,58.41554549880453,86,444
Yes,Self-Employed,Other,50,67000,517,9,69498,85,43.34137942472557,92,796
No,Salaried,Female,65,192000,208,3,150000,56,95,58,480
No,Salaried,Male,25,73000,445,1,51983,59,95,27,385
No,Student,Female,54,37000,390,3,80225,38,67.42972860636422,53,480
No,Student,Male,44,70000,52,0,118571,109,95,0,345
No,Self-Employed,Female,49,29000,564,0,21202,50,79.20222411,50,308
No,Salaried,Male,19,22000,378,3,90724,29,95,78,508
No,Unemployed,Male,35,98000,249,3,148584,63,76.34403811805336,40,498
No,Self-Employed,Female,35,84000,55,0,50026,99,75.27059520701445,46,318
No,Self-Employed,Female,63,105000,401,4,150000,71,95,54,527
Yes,Salaried,Female,34,69000,85,7,54532,236,67.02085724204795,98,689
No,Self-Employed,Female,30,86000,111,5,116903,168,76.40604436817905,100,626
No,Unemployed,Male,42,51000,114,2,80442,58,65.86743715906834,47,415
Yes,Student,Other,41,99000,47,7,110985,254,79.79789270325426,77,685
No,Self-Employed,Male,34,95000,401,5,87880,213,68.29877525495179,91,625
No,Self-Employed,Male,68,145000,606,6,117921,290,51.11257055700737,100,630
No,Freelancer,Female,34,73000,444,5,136489,19,83.71802607079977,91,597
No,Self-Employed,Female,23,68000,425,2,150000,106,60.90811133936643,57,416
No,Salaried,Male,57,112000,511,1,89660,70,50.085346086761554,85,382
No,Self-Employed,Female,54,126000,363,6,116671,235,69.31424921135766,93,650
Yes,Self-Employed,Female,64,180000,385,9,150000,144,73.18092595900869,100,824
No,Salaried,Male,63,39000,421,0,54688,113,95,22,315
Yes,Self-Employed,Female,35,96000,418,9,133718,102,73.07173383255244,100,811
Yes,Self-Employed,Female,67,42000,246,8,74863,173,40,100,753
No,Salaried,Male,46,72000,356,3,82979,80,52.416317522254616,95,488
Yes,Self-Employed,Female,66,41000,59,7,37550,359,44.42943839374787,100,708
Yes,Freelancer,Male,32,60000,381,8,80415,206,76.67458261574971,93,758
No,Salaried,Male,52,115000,418,3,150000,18,57.80644642012326,100,511
No,Student,Female,32,54000,68,3,150000,49,73.95943337252965,65,484
Yes,Freelancer,Female,45,87000,348,7,45285,148,52.580125192011515,96,732
No,Student,Female,36,77000,114,0,45152,114,83.01802397,22,300
Yes,Salaried,Male,45,124000,476,10,80341,86,78.96060726842947,91,850
No,Self-Employed,Male,47,93000,396,0,68665,23,66.75701302,47,322
Yes,Salaried,Male,45,122000,611,9,120124,70,44.42122161386955,100,814
No,Self-Employed,Female,65,111000,541,2,63002,84,95,35,464
No,Salaried,Female,34,30000,394,3,56916,115,95,62,473
No,Unemployed,Female,31,89000,203,4,150000,94,54.51486290411267,87,547
Yes,Self-Employed,Female,69,192000,71,8,128509,89,40,100,750
Yes,Self-Employed,Other,38,81000,317,8,140627,345,73.02459862836139,97,789
No,Salaried,Other,55,69000,338,2,150000,48,89.08190469228246,46,421
No,Self-Employed,Male,18,53000,28,2,91991,99,95,55,456
Yes,Self-Employed,Female,31,19000,261,7,68753,326,79.78794520105322,100,733
No,Salaried,Female,41,85000,7,2,93042,74,89.25162125743753,69,415
Yes,Student,Female,24,46000,149,6,150000,303,95,85,682
Yes,Freelancer,Male,64,107000,430,7,104688,175,59.08747918682866,92,711
Yes,Salaried,Female,67,130000,24,7,100414,248,40,93,701
No,Freelancer,Male,39,80000,417,3,150000,33,83.59346459,68,472
Yes,Self-Employed,Other,28,58000,515,10,107379,71,71.44466312989891,91,850
No,Salaried,Female,36,78000,70,0,150000,41,75.52121588297837,40,335
Yes,Self-Employed,Female,45,49000,148,10,106594,63,53.63725724477222,100,850
No,Self-Employed,Female,43,31000,9,2,103080,27,80.90074402752936,51,464
Yes,Salaried,Female,68,175000,604,9,52093,121,61.942068153374976,96,845
Yes,Salaried,Female,46,135000,247,9,67685,124,55.66794420990837,100,806
No,Self-Employed,Female,19,28000,236,4,36795,29,50.77611708545381,100,573
No,Freelancer,Male,18,17000,527,0,64817,30,95,32,300
No,Student,Female,18,23000,589,5,86760,165,70.97681242984129,66,602
Yes,Salaried,Male,18,22000,314,6,60936,64,95,88,679
No,Self-Employed,Male,30,65000,500,1,80694,86,80.33421838420324,65,390
Yes,Freelancer,Female,53,120000,195,8,108200,99,40,91,754
No,Salaried,Male,51,101000,507,4,150000,98,72.37630092656713,84,531
Yes,Salaried,Female,61,134000,78,8,81704,346,77.21638102,100,755
No,Student,Male,47,33000,329,5,81315,126,71.74799264529261,86,623
Yes,Salaried,Female,65,175000,478,7,150000,355,40,100,720
No,Self-Employed,Male,38,33000,476,2,99857,21,85.46586597313825,35,444
Yes,Self-Employed,Male,19,11000,310,6,31346,299,95,77,679
Yes,Salaried,Male,25,67000,325,8,115598,186,74.30564489439811,100,751
No,Self-Employed,Male,59,74000,213,2,150000,13,88.37227015,56,411
No,Self-Employed,Male,18,43000,164,3,23292,77,88.68647890318971,43,493
No,Freelancer,Male,39,79000,554,5,150000,157,53.04143794555747,99,622
No,Salaried,Male,57,30000,159,4,25405,88,65.07313506552873,100,530
Yes,Salaried,Female,44,71000,280,10,51744,182,53.15003908,96,850
Yes,Self-Employed,Male,24,41000,117,7,52520,283,61.325612365779136,96,687
No,Self-Employed,Female,70,112000,177,5,114488,114,81.20592218165262,82,592
Yes,Self-Employed,Male,63,47000,518,8,150000,149,40,100,765
Yes,Self-Employed,Male,66,80000,165,10,145589,204,74.85154909994264,97,850
No,Freelancer,Male,18,43000,212,3,33485,75,88.30526953699797,63,509
Yes,Unemployed,Male,41,118000,290,6,150000,292,95,89,668
No,Salaried,Male,68,35000,234,3,54912,47,91.80999415764938,47,511
No,Freelancer,Male,38,56000,431,3,150000,79,61.93500309659554,89,515
No,Self-Employed,Male,63,52000,103,4,135203,51,55.69278412255337,94,555
Yes,Salaried,Male,24,12000,166,7,57239,166,85.69751686150744,90,721
No,Salaried,Other,58,102000,541,4,92349,47,92.88406078913675,84,551
Yes,Salaried,Female,22,58000,70,8,133783,283,82.03410345489343,96,763
No,Salaried,Male,18,47000,433,1,137741,53,95,20,380
No,Salaried,Female,63,125000,408,4,123833,60,81.31378575,80,553
No,Self-Employed,Male,36,102000,327,3,80894,13,95,30,476
Yes,Salaried,Male,39,60000,540,7,99501,258,40,100,738
Yes,Salaried,Female,27,29000,66,8,74623,258,75.58099440429746,98,774
Yes,Salaried,Male,28,73000,482,6,150000,241,89.87185165142981,76,664
No,Salaried,Female,25,21000,125,4,66734,74,93.49470099570047,55,522
No,Self-Employed,Female,24,15000,12,0,33841,114,95,1,300
Yes,Salaried,Female,38,79000,447,6,150000,69,50.359228623938755,92,679
Yes,Salaried,Male,35,37000,66,7,28002,177,90.65249738198725,100,690
Yes,Self-Employed,Male,64,162000,605,6,150000,227,60.09658493271691,94,666
Yes,Salaried,Female,47,118000,172,9,144603,294,40,95,822
Yes,Self-Employed,Male,67,79000,405,6,111448,145,61.63502751546355,99,651
No,Salaried,Female,36,82000,392,0,69885,27,95,17,300
Yes,Self-Employed,Female,50,121000,245,8,65190,288,42.89256619117316,97,781
No,Unemployed,Male,35,24000,234,2,118317,72,88.48038352571359,28,415
No,Salaried,Female,58,93000,105,6,75361,103,65.86946905830402,100,630
No,Salaried,Female,53,84000,159,4,150000,72,95,86,551
Yes,Unemployed,Male,63,101000,257,9,68231,274,75.06394422091505,100,837
Yes,Self-Employed,Female,36,20000,265,8,65987,141,80.77177194630875,100,783
No,Self-Employed,Female,27,14000,190,5,30457,22,95,52,595
Yes,Salaried,Female,48,116000,403,8,65443,311,67.03487553076236,91,742
No,Salaried,Female,60,39000,229,2,136620,35,94.62755179526343,36,438
Yes,Student,Female,56,121000,227,7,61707,296,68.00727497585393,92,725
No,Salaried,Male,33,81000,420,5,111199,98,89.80767103315398,93,586
Yes,Salaried,Male,36,98000,33,10,150000,279,40,99,850
No,Self-Employed,Female,60,124000,196,5,138339,33,54.58106087662435,100,580
No,Salaried,Male,28,42000,158,4,89807,74,92.89222974868635,83,558
No,Salaried,Other,18,27000,22,4,79049,96,73.38287293548987,94,571
Yes,Salaried,Female,66,138000,192,8,150000,289,59.746641326782964,96,789
Yes,Salaried,Male,39,50000,592,6,74498,264,77.45045621684014,100,684
Yes,Salaried,Male,56,31000,125,6,77100,115,95,94,659
No,Student,Male,23,13000,517,2,40396,41,70.44578825,62,456
Yes,Salaried,Male,68,92000,346,9,124569,282,40,100,808
Yes,Student,Female,42,36000,160,6,94513,326,83.37777833375316,96,668
No,Self-Employed,Female,32,23000,201,6,31076,177,54.484913104632696,100,634
No,Salaried,Male,26,61000,484,4,101386,82,54.59141719832553,92,550
Yes,Self-Employed,Male,66,82000,387,6,127431,209,76.15917818443815,99,678
No,Salaried,Female,35,25000,307,4,14676,78,95,79,524
No,Self-Employed,Male,28,83000,250,2,150000,44,79.38928583430786,60,454
No,Salaried,Female,56,29000,108,5,69119,354,50.10313631750256,100,616
No,Self-Employed,Male,40,35000,585,4,47974,88,81.4882568,72,551
Yes,Salaried,Female,58,114000,429,10,144904,316,46.652606193236664,96,850
No,Salaried,Female,68,140000,342,5,150000,74,94.29039813834876,66,616
Yes,Self-Employed,Male,33,74000,439,7,93733,93,40,90,712
No,Salaried,Female,61,102000,166,2,113429,39,95,33,442
No,Salaried,Male,49,33000,292,4,96246,111,50.56327461635863,100,558
No,Student,Male,31,52000,26,2,49593,32,95,19,429
No,Salaried,Male,63,76000,425,5,150000,104,91.4030843,87,609
Yes,Self-Employed,Female,64,62000,583,8,42604,336,81.03299915,100,783
No,Salaried,Male,56,36000,199,4,21958,18,54.04115599,91,570
Yes,Salaried,Female,53,144000,82,8,87480,145,46.35633022521196,100,776
No,Salaried,Male,50,143000,12,5,150000,217,95,88,614
No,Salaried,Male,46,64000,82,1,116011,61,95,48,375
Yes,Self-Employed,Male,34,96000,442,9,134470,70,65.80548813661164,98,804
No,Salaried,Male,25,39000,269,3,41779,18,58.768346340618535,100,490
No,Self-Employed,Other,67,83000,252,3,150000,49,56.41974244612346,80,493
No,Salaried,Male,21,53000,555,4,127839,76,95,64,561
Yes,Self-Employed,Male,24,17000,259,6,13244,153,63.87243762102692,100,681
Yes,Freelancer,Female,43,30000,332,7,32865,153,84.01112002,100,736
Yes,Freelancer,Male,70,146000,510,8,124228,116,69.81148843159723,96,787
No,Self-Employed,Female,38,83000,428,5,150000,92,50.59391884630852,97,596
No,Salaried,Male,36,70000,45,4,147453,105,93.95678216133379,58,555
No,Self-Employed,Male,18,48000,247,4,28225,74,93.49917096299748,50,542
Yes,Salaried,Female,30,48000,312,8,29465,239,58.12538556388316,100,764
No,Self-Employed,Female,24,44000,61,5,105405,38,88.64565612097631,87,576
No,Salaried,Female,22,12000,179,1,34072,32,63.86012877207611,68,391
Yes,Salaried,Female,58,67000,111,7,150000,69,78.91669501,96,705
No,Salaried,Male,48,109000,324,3,111721,66,70.87858916517737,81,512
Yes,Self-Employed,Other,42,96000,417,8,150000,186,83.06060435868082,91,774
No,Unemployed,Female,70,119000,189,4,150000,75,68.32179277088315,84,572
Yes,Self-Employed,Female,59,104000,172,8,105868,327,40,100,769
Yes,Salaried,Female,59,175000,323,9,96204,92,40,90,820
Yes,Self-Employed,Female,63,44000,208,7,47578,95,71.43419080723157,100,706
No,Salaried,Male,39,92000,177,3,103059,84,58.40655426440837,100,468
No,Freelancer,Female,45,40000,570,2,142979,12,88.58326689713365,28,421
Yes,Self-Employed,Male,35,71000,186,6,87434,186,95,85,671
No,Salaried,Male,31,92000,17,6,74189,133,52.52359088623334,97,638
No,Unemployed,Male,65,41000,252,4,91273,89,95,45,522
Yes,Salaried,Male,61,64000,421,7,150000,130,40,100,722
No,Salaried,Female,23,54000,341,0,150000,56,64.12880773428174,59,300
No,Self-Employed,Female,48,88000,129,4,150000,20,53.63611409862318,99,548
Yes,Self-Employed,Male,37,58000,415,6,148861,141,60.925225689239596,100,675
Yes,Salaried,Female,29,81000,345,8,150000,253,81.15287948108873,100,747
No,Self-Employed,Female,26,60000,494,3,141343,71,74.67288064938958,67,485
Yes,Self-Employed,Male,28,60000,189,7,150000,286,40,100,733
No,Salaried,Male,22,55000,461,0,150000,102,55.59023049068912,74,300
Yes,Unemployed,Male,19,23000,334,8,46234,299,40,96,784
No,Salaried,Female,40,108000,407,5,108126,131,89.09547325936212,70,622
Yes,Self-Employed,Other,30,25000,166,7,108856,243,56.38207034740796,100,699
Yes,Self-Employed,Male,26,62000,150,9,143850,222,73.52588123657742,100,833
No,Salaried,Male,27,24000,68,6,35425,236,92.26073426256747,93,636
Yes,Salaried,Female,24,60000,49,8,51446,123,70.71276896911507,98,787
No,Salaried,Male,41,44000,210,0,125718,96,73.22201753567678,64,346
No,Salaried,Female,45,88000,173,4,54301,108,74.15868734,93,556
No,Unemployed,Male,45,84000,220,0,70212,39,52.57638394227159,65,300
Yes,Self-Employed,Male,60,113000,137,10,150000,174,42.01062560990339,100,850
Yes,Salaried,Male,50,104000,460,10,150000,318,40,100,850
No,Self-Employed,Male,24,63000,285,4,76451,25,84.29001947222056,81,566
No,Salaried,Female,34,97000,361,3,150000,78,53.03025529293417,100,516
Yes,Self-Employed,Male,46,129000,332,7,60879,249,47.002436242870445,100,715
No,Unemployed,Female,41,58000,13,4,150000,43,62.61458199940637,79,538
No,Salaried,Female,61,105000,253,2,73866,50,85.00197501882172,52,432
Yes,Salaried,Female,33,87000,244,7,84195,172,40,100,739
Yes,Salaried,Female,54,143000,550,10,150000,75,62.82980568317973,100,850
No,Salaried,Female,21,43000,271,0,119372,23,71.55770575261432,58,300
No,Salaried,Male,59,159000,399,1,150000,46,51.60423500935376,77,406
No,Freelancer,Male,38,43000,103,2,35798,31,62.943837961127876,82,415
No,Salaried,Male,58,56000,356,5,150000,358,73.54367999930255,98,622
Yes,Self-Employed,Male,70,37000,282,8,150000,307,43.365314280262666,98,754
Yes,Salaried,Male,56,166000,324,6,140048,186,80.73027252415318,100,652
No,Self-Employed,Male,41,74000,554,5,134490,70,64.37817365,97,608
No,Salaried,Female,21,41000,434,5,31936,81,78.25174033709405,100,607
No,Salaried,Female,21,32000,566,2,107573,64,64.15074787023971,74,430
No,Salaried,Female,50,54000,313,5,112172,69,62.841431900307796,100,614
No,Self-Employed,Male,48,138000,263,5,140683,22,79.53058234080652,86,591
Yes,Salaried,Female,58,85000,506,7,150000,192,84.97368597,97,708
Yes,Salaried,Male,68,53000,447,7,150000,182,50.581550684221824,92,720
Yes,Salaried,Female,61,93000,506,6,125131,343,92.35696860973172,97,674
No,Salaried,Female,34,95000,264,3,150000,104,67.89504742,85,483
No,Salaried,Female,43,73000,7,6,104535,245,86.82757026,95,648
Yes,Self-Employed,Female,44,49000,332,8,60646,95,50.10323116,100,789
No,Freelancer,Female,46,43000,421,1,60697,104,59.674775784767526,71,356
No,Salaried,Male,43,86000,331,1,87126,70,87.34846014654474,29,376
No,Freelancer,Female,40,55000,30,2,43276,80,66.84801082231061,73,422
No,Salaried,Female,56,49000,216,4,150000,112,50.36678636249448,100,542
Yes,Salaried,Male,18,14000,257,7,53299,289,47.22013494070933,94,715
No,Unemployed,Female,25,26000,192,6,106744,102,66.54408749,74,630
No,Self-Employed,Male,22,14000,61,5,27091,65,68.18808538446972,100,611
No,Salaried,Female,44,49000,137,1,135499,15,92.04175594789511,29,371
No,Self-Employed,Female,38,107000,592,4,114605,24,53.55268939517048,92,529
Yes,Self-Employed,Male,62,176000,234,9,150000,238,45.50273860561739,100,828
No,Salaried,Male,61,129000,254,4,150000,108,69.25534023171697,92,538
Yes,Self-Employed,Male,38,101000,568,6,109735,204,94.73285402698595,71,673
Yes,Salaried,Male,66,38000,479,9,135557,77,40,97,799
No,Unemployed,Male,32,32000,405,3,129755,58,80.92599398121351,76,519
Yes,Salaried,Male,33,55000,51,8,150000,213,65.17246498176434,94,752
No,Salaried,Female,23,29000,268,2,103986,79,79.65481272643166,57,446
Yes,Self-Employed,Male,27,33000,435,6,19521,350,71.26295800909519,97,667
No,Student,Male,32,87000,194,2,150000,38,73.01036847862198,73,461
No,Freelancer,Female,39,62000,419,0,139353,56,74.49662734,47,329
No,Self-Employed,Male,63,185000,496,3,150000,48,95,44,489
Yes,Salaried,Male,56,125000,297,7,82797,111,79.57371291025885,100,735
No,Self-Employed,Female,18,38000,330,5,75792,97,95,76,585
No,Self-Employed,Male,43,91000,210,5,103833,76,95,49,582
Yes,Self-Employed,Female,58,83000,390,9,42547,307,85.40978081782997,90,821
Yes,Unemployed,Female,29,73000,458,6,150000,110,92.75874163395207,91,666
No,Salaried,Male,63,34000,77,6,150000,298,78.07299781690836,98,648
No,Salaried,Female,28,34000,295,4,46653,82,84.95074362468928,72,563
No,Unemployed,Male,18,27000,440,3,134646,64,95,38,512
Yes,Self-Employed,Male,64,136000,30,7,150000,243,88.24887352627411,90,686
Yes,Student,Male,34,83000,93,8,150000,80,84.64993525507205,99,783
Yes,Self-Employed,Female,32,59000,527,8,52908,306,53.61223552557809,100,787
No,Salaried,Male,67,148000,108,4,115133,30,82.87406328703717,70,554
No,Self-Employed,Male,70,86000,512,3,150000,60,52.24979538406582,100,491
Yes,Salaried,Male,68,129000,552,8,134271,283,84.37113483418655,100,776
No,Salaried,Female,49,37000,133,0,39632,87,60.26346206451696,57,300
No,Freelancer,Female,34,32000,572,5,99478,59,64.01992519571826,95,589
No,Self-Employed,Male,66,93000,176,1,103569,117,78.89131100022195,55,399
No,Self-Employed,Female,57,70000,421,2,150000,24,50.50865706260255,87,423
No,Salaried,Male,44,38000,153,4,119567,111,79.76342946349547,72,571
No,Salaried,Female,52,154000,601,3,116562,56,69.12234799,100,508
No,Freelancer,Female,32,56000,204,0,150000,89,86.58413711848155,16,303
No,Self-Employed,Female,62,68000,229,2,82492,91,94.35165517846828,40,445
Yes,Self-Employed,Female,65,130000,380,9,150000,242,75.87335254660553,100,802
No,Freelancer,Female,33,50000,215,0,127723,31,73.69578279,38,305
No,Student,Male,33,51000,349,0,62976,100,66.37858377,20,300
Yes,Salaried,Female,69,195000,444,7,150000,178,72.30763920500793,100,729
No,Self-Employed,Female,21,24000,446,2,46510,22,69.57211289449636,47,428
Yes,Salaried,Female,20,56000,278,9,143394,142,62.779921746373844,97,796
No,Self-Employed,Male,51,33000,440,5,97134,266,91.21646300595766,60,608
No,Unemployed,Female,35,31000,235,2,123378,86,63.25475305780594,45,439
No,Salaried,Female,37,24000,191,5,69679,108,85.46119037966389,100,602
Yes,Freelancer,Male,24,18000,440,7,64529,169,50.94636567,100,708
Yes,Salaried,Male,33,57000,384,10,124837,95,59.749126301736936,100,850
No,Self-Employed,Female,26,56000,301,4,150000,60,68.38697390616386,86,537
No,Self-Employed,Male,19,44000,408,2,150000,53,79.40696348017534,49,430
No,Salaried,Male,60,178000,469,4,150000,94,93.18381428,52,533
No,Salaried,Female,66,98000,36,6,124005,86,80.42209117525839,93,650
No,Salaried,Female,51,122000,480,2,150000,12,57.03509906618744,76,442
Yes,Salaried,Male,25,24000,252,8,43749,202,51.42392339097395,100,772
No,Salaried,Female,55,99000,412,4,143855,46,63.94209599273261,81,543
Yes,Salaried,Female,53,78000,481,6,150000,297,64.74707424482821,96,679
No,Self-Employed,Female,57,167000,589,4,150000,81,95,59,554
No,Freelancer,Male,68,95000,117,2,136953,23,52.84321911861835,96,438
No,Self-Employed,Male,59,99000,281,5,87509,218,95,72,608
No,Student,Female,21,22000,233,3,32024,74,95,34,506
No,Salaried,Male,25,61000,418,4,118070,63,89.97869592,75,569
Yes,Unemployed,Male,36,74000,448,7,94033,150,50.22053895387734,99,734
No,Unemployed,Male,22,65000,192,6,134009,352,95,51,646
Yes,Salaried,Female,61,131000,527,10,150000,142,63.09755853256098,98,850
No,Freelancer,Male,48,55000,301,1,85206,117,91.07414846634845,56,400
No,Salaried,Female,32,69000,376,5,147835,69,70.75272785002272,98,617
No,Unemployed,Male,20,47000,235,5,45718,237,94.76208932182766,72,619
Yes,Salaried,Female,55,131000,524,9,150000,201,44.64952147531618,96,821
No,Student,Female,55,73000,489,0,142090,93,91.22653892631767,0,300
No,Salaried,Female,69,155000,121,6,87383,87,95,100,641
No,Freelancer,Male,63,75000,236,2,124530,91,78.07947750167138,59,456
Yes,Self-Employed,Male,31,26000,32,8,71300,139,78.60678565223202,99,749
No,Unemployed,Female,24,24000,493,5,90363,155,95,49,604
No,Self-Employed,Female,43,37000,396,1,68302,28,62.34534631741474,45,368
No,Salaried,Female,66,100000,245,3,144473,96,62.51109424570821,99,496
No,Self-Employed,Female,26,58000,293,2,48431,17,65.69787354755046,79,429
No,Salaried,Other,45,101000,198,4,99748,59,76.45765470132403,90,558
Yes,Self-Employed,Female,45,40000,105,8,141360,215,60.85739023533711,100,785
Yes,Salaried,Female,66,109000,514,7,64576,113,95,99,691
No,Student,Male,25,65000,42,0,61518,103,66.30257439664024,26,348
No,Student,Female,39,35000,452,0,40809,98,50.67040392791176,47,300
No,Salaried,Male,61,107000,74,1,84663,33,58.421854084063554,91,381
Yes,Salaried,Male,34,76000,109,9,130500,233,77.81946857158067,100,838
Yes,Salaried,Male,69,102000,98,9,150000,306,40,100,848
No,Unemployed,Female,38,83000,514,6,88236,351,95,52,642
No,Self-Employed,Female,43,23000,61,6,85622,317,65.27091102528124,97,645
No,Salaried,Male,61,158000,248,5,94751,53,65.61991757960479,94,600
No,Salaried,Male,49,104000,330,4,124385,76,71.13447507002728,96,536
No,Self-Employed,Female,47,34000,205,1,30349,49,51.55682461238078,86,388
No,Self-Employed,Male,70,60000,605,3,75264,50,95,32,501
No,Salaried,Female,31,35000,254,0,99248,82,95,32,341
Yes,Salaried,Female,38,31000,479,10,94438,190,45.352487682814115,100,850
No,Salaried,Male,18,29000,382,1,21923,40,60.959383603183696,65,397
